source_file	scene_index	scene_label	text_index	segment_index	speaker_original	speaker_zh_cn	voice	display_prefix	original_text	translation_zh_cn	translator_note
01.txt.json	0	*top	0	0	稔	稔		・・・	「うん……」	「嗯……」	「うん……」
01.txt.json	0	*top	1	0	稔	稔		・・・	「いや、うん、大丈夫」	「没，嗯，没事」	「いや、うん、大丈夫」
01.txt.json	0	*top	2	0	稔	稔		・・・	「分かってるよ姉さん」	「我知道的，姐姐」	「分かってるよ姉さん」
01.txt.json	0	*top	3	0	稔	稔			「まず俺は酔ってない」	「首先，我没喝醉」	「まず俺は酔ってない」
01.txt.json	0	*top	4	0	美世	美世	miyo0001		「うん」	「嗯」	「うん」
01.txt.json	0	*top	5	0	稔	稔			「ヘンな薬にも手ぇ出してない」	「也没碰什么奇怪的药」	「ヘンな薬にも手ぇ出してない」
01.txt.json	0	*top	6	0	美世	美世	miyo0002		「うん」	「嗯」	「うん」
01.txt.json	0	*top	7	0	稔	稔			「今日は５時間寝てる。頭もはっきりしてる」	「我今天睡了5个小时。脑子也很清醒」	「今日は５時間寝てる。頭もはっきりしてる」
01.txt.json	0	*top	8	0	美世	美世	miyo0003		「５時間は少なくない？」	「5个小时还不算少吗？」	「５時間は少なくない？」
01.txt.json	0	*top	9	0	稔	稔			「……朝早くから姉さんが来るからだろ。眠い」	「……还不是因为姐姐一大早就过来了。困死了」	「……朝早くから姉さんが来るからだろ。眠い」
01.txt.json	0	*top	10	0	美世	美世	miyo0004		「それはごめん」	「对不起嘛」	「それはごめん」
01.txt.json	0	*top	11	0	美世	美世	miyo0005		「でもこっちも心配なんだよ。\nたった１人の弟がさあ、\nいきなりあんなこと言い出したらさあ」	「但我这边也很担心啊。\n唯一的弟弟突然说出那种话，\n换谁都会担心吧」	「でもこっちも心配なんだよ。\nたった１人の弟がさあ、\nいきなりあんなこと言い出したらさあ」
01.txt.json	0	*top	12	0	稔	稔			「いや、うん、それは悪いと思うけど」	「不是，嗯，我也觉得这事是我不对」	「いや、うん、それは悪いと思うけど」
01.txt.json	0	*top	13	0	稔	稔			「いるんだって本当に。\n今。この部屋に」	「真的有。\n现在。就在这个房间里」	「いるんだって本当に。\n今。この部屋に」
01.txt.json	0	*top	14	0	美世	美世	miyo0006		「どこに！」	「在哪儿！」	「どこに！」
01.txt.json	0	*top	15	0	稔	稔			「そこに！」	「就在那儿！」	「そこに！」
01.txt.json	0	*top	16	0	美世	美世	miyo0007		「そこってどこ！」	「你说的那儿是哪儿！」	「そこってどこ！」
01.txt.json	0	*top	17	0	稔	稔			「いまベッドの上！　漫画読んでる！」	「现在就在床上！　正在看漫画！」	「いまベッドの上！　漫画読んでる！」
01.txt.json	0	*top	18	0	美世	美世	miyo0008		「……」	「……」	「……」
01.txt.json	0	*top	19	0	プーカ	普卡	puca0001	・・・	「～♪」	「～♪」	「～♪」
01.txt.json	0	*top	20	0	稔	稔			「鼻歌うたってる」	「她在哼歌」	「鼻歌うたってる」
01.txt.json	0	*top	21	0	美世	美世	miyo0009		「……」	「……」	「……」
01.txt.json	0	*top	22	0	プーカ	普卡	puca0002	・・・	「ぬふ……ぬひひひひ」	「呜呼……呜嘻嘻嘻嘻」	「ぬふ……ぬひひひひ」
01.txt.json	0	*top	23	0	稔	稔			「なんか笑ってる」	「好像在笑」	「なんか笑ってる」
01.txt.json	0	*top	24	0	美世	美世	miyo0010		「……」	「……」	「……」
01.txt.json	0	*top	25	0	稔	稔			「見えるだろ？」	「你看得见吧？」	「見えるだろ？」
01.txt.json	0	*top	26	0	美世	美世	miyo0011		「見えねえよ」	「才看不见」	「見えねえよ」
01.txt.json	0	*top	27	0	美世	美世	miyo0012		「もっかい聞くね。いまベッドの上に何がいるって？」	「我再问一遍哦。你说现在床上有谁来着？」	「もっかい聞くね。いまベッドの上に何がいるって？」
01.txt.json	0	*top	28	0	稔	稔			「ウサ耳生やした女の子」	「长着兔耳朵的女孩子」	「ウサ耳生やした女の子」
01.txt.json	0	*top	29	0	美世	美世	miyo0013		「……はあ」	「……唉」	「……はあ」
01.txt.json	0	*top	30	0	美世	美世	miyo0014		「もういい、最悪ケモ耳は許容する」	「算了，最起码兽耳我还能接受」	「もういい、最悪ケモ耳は許容する」
01.txt.json	0	*top	31	0	美世	美世	miyo0015		「どんな格好してるって？」	「你说她穿成什么样来着？」	「どんな格好してるって？」
01.txt.json	0	*top	32	0	稔	稔			「バニースーツ」	「兔女郎服」	「バニースーツ」
01.txt.json	0	*top	33	0	美世	美世	miyo0016		「……神よ！」	「……神啊！」	「……神よ！」
01.txt.json	0	*top	34	0	美世	美世	miyo0017		「おお神よ。\nたった１人の弟が、昭和のオッサンみたいな妄想を\n見るようになってしまいました」	「哦，神啊。\n我唯一的弟弟，竟然开始产生\n像昭和大叔一样的妄想了」	「おお神よ。\nたった１人の弟が、昭和のオッサンみたいな妄想を\n見るようになってしまいました」
01.txt.json	0	*top	35	0	稔	稔			「ちげーっつの！　妄想じゃなくて」	「都说了不是！　不是妄想」	「ちげーっつの！　妄想じゃなくて」
01.txt.json	0	*top	36	0	プーカ	普卡	puca0003	・・・	「ねえねえ」	「喂喂」	「ねえねえ」
01.txt.json	0	*top	37	0	稔	稔			「動いた」	「她动了」	「動いた」
01.txt.json	0	*top	38	0	プーカ	普卡	puca0004	・・・	「これ次の巻どこ？」	「下一卷在哪儿？」	「これ次の巻どこ？」
01.txt.json	0	*top	39	0	プーカ	普卡	puca0005	・・・	「あ、そこの本棚ね。さんきゅー」	「啊，在那边的书架上。谢啦」	「あ、そこの本棚ね。さんきゅー」
01.txt.json	0	*top	40	0					とてとてと本棚へ行き、読んでたのを戻して\n新しいのをとるウサ耳。	兔耳少女啪嗒啪嗒地走到书架前，把刚才读的放回去，\n又拿了本新的。	とてとてと本棚へ行き、読んでたのを戻して\n新しいのをとるウサ耳。
01.txt.json	0	*top	41	0	プーカ	普卡	puca0006	・・・	「続き続き」	「继续看继续看」	「続き続き」
01.txt.json	0	*top	42	0	プーカ	普卡	puca0007	・・・	「ぬはははは、あー昔のマンガってわりとおもろいよね～」	「呜哈哈哈哈，啊～以前的漫画还挺有意思的嘛～」	「ぬはははは、あー昔のマンガってわりとおもろいよね～」
01.txt.json	0	*top	43	0	稔	稔			「……」	「……」	「……」
01.txt.json	0	*top	44	0	稔	稔			「いまの見た？」	「刚才你看到了吗？」	「いまの見た？」
01.txt.json	0	*top	45	0	美世	美世	miyo0018		「なにが」	「什么」	「なにが」
01.txt.json	0	*top	46	0	稔	稔			「最悪、バニー娘は姉さんには見えてないとしよう」	「最糟糕的情况，就当兔女郎小姐只有姐姐看不见吧」	「最悪、バニー娘は姉さんには見えてないとしよう」
